pl_name,pl_type,pl_tourneyID,pl_totalsets,pl_matchwins,pl_matchlosses,pl_setwins,pl_totalk,pl_totald,pl_avgr,pl_totalbrought
SKoN,Electric,1,26,10,3,20,129,110,1.46,151
Pyrilewski,Flying,1,19,8,1,17,84,63,1.42,114
JDawgg,Bug,1,32,9,6,21,147,133,1.09,192
Barthol,Poison,1,24,10,2,21,115,82,1.51,144
Seth,Fighting,1,32,9,5,21,142,120,1.24,187
Lcannine,Water,1,16,4,3,9,77,59,1.03,96
Availing,Psychic,1,25,,,,120,98,1.13,150
Jake B,Fire,1,28,4,9,14,114,118,1.14,168
Viaryrio,Ground,1,28,2,11,7,87,153,0.54,168
Fuwante,Dragon,1,20,4,7,9,60,97,0.61,120
Caper,Steel,1,24,5,8,10,96,131,0.73,144
Gyro,Ghost,1,28,4,10,11,115,145,1,168
Henri,Ice,1,30,4,10,11,105,149,0.79,180
Subagoat,Dark,1,23,7,5,14,86,100,0.98,138
Gourmet,Normal,1,24,11,1,23,119,65,3.91,140
