po_tourneyid,po_playerID,po_name,po_type1,po_type2,po_tier,po_isTeraCaptain,po_k,po_d,po_numbrought,po_winstreak,po_r,po_percentbrought,po_speed,po_modspeed
1,SKoN,Iron Hands ,Electric,Fighting,UU,FALSE,25,15,22,,1.67,0.8462,136,136
1,SKoN,Zeraora,Electric,N/A,RU,FALSE,22,10,19,,2.2,0.7308,385,385
1,SKoN,Rotom-Wash,Electric,Water,UU,FALSE,10,15,16,,0.67,0.6154,208,208
1,SKoN,Zekrom,Electric,Dragon,Uber,FALSE,17,4,10,,4.25,0.3846,306,306
1,SKoN,Regieleki,Electric,N/A,Uber,FALSE,7,9,13,,0.78,0.5,436,436
1,SKoN,Galvantula,Electric,Bug,RU,FALSE,5,9,12,,0.56,0.4615,315,315
1,SKoN,Xurkitree,Electric,N/A,UU,FALSE,14,6,11,,2.33,0.4231,291,437
1,SKoN,Thundurus-T,Electric,Flying,UU,FALSE,15,12,15,,1.25,0.5769,331,331
1,SKoN,Tapu Koko,Electric,Fairy,OU,FALSE,11,21,23,,0.52,0.8846,394,394
1,SKoN,Magnezone,Electric,Steel,UU,FALSE,3,9,10,,0.33,0.3846,156,156
1,Pyrilewski,Charizard ,Flying,Fire,OU,FALSE,3,4,7,,0.75,0.3684,328,328
1,Pyrilewski,Dragonite ,Flying,Dragon,OU,FALSE,10,6,8,,1.67,0.4211,259,259
1,Pyrilewski,Corviknight ,Flying,Steel,OU,FALSE,4,4,14,,1,0.7368,170,170
1,Pyrilewski,Shaymin-Sky,Flying,Grass,Uber,FALSE,15,13,19,,1.15,1,388,582
1,Pyrilewski,Zapdos,Flying,Electric,OU,FALSE,5,3,8,,1.67,0.4211,289,289
1,Pyrilewski,Celesteela,Flying,Steel,UU,FALSE,5,3,6,,1.67,0.3158,142,142
1,Pyrilewski,Landorus-T,Flying,Ground,OU,FALSE,4,10,14,,0.4,0.7368,309,464
1,Pyrilewski,Tornadus-T,Flying,N/A,UU,FALSE,3,6,8,,0.5,0.4211,358,358
1,Pyrilewski,Gliscor ,Flying,Ground,OU,FALSE,14,5,13,,2.8,0.6842,242,242
1,Pyrilewski,Enamorus,Flying,Fairy,RU,FALSE,18,6,14,,3,0.7368,311,467
1,Pyrilewski,Skarmory,Flying,Steel,UU,FALSE,3,3,3,,1,0.1579,176,176
1,JDawgg,Pheromosa,Bug,Fighting,Uber,FALSE,51,12,25,,4.25,0.7813,389,389
1,JDawgg,Volcarona ,Bug,Fire,OU,FALSE,18,26,32,,0.69,1,252,252
1,JDawgg,Araquanid,Bug,Water,RU,FALSE,9,17,20,,0.53,0.625,150,150
1,JDawgg,Scizor-Mega ,Bug,Steel,OU,FALSE,6,10,17,,0.6,0.5313,214,234
1,JDawgg,Kleavor,Bug,Rock,UU,FALSE,23,20,31,,1.15,0.9688,295,443
1,JDawgg,Pinsir,Bug,N/A,UU,FALSE,7,10,14,,0.7,0.4375,211,251
1,JDawgg,Buzzwole,Bug,Fighting,UU,FALSE,19,10,18,,1.9,0.5625,262,262
1,JDawgg,Forretress,Bug,Steel,RU,FALSE,3,14,15,,0.21,0.4688,116,116
1,JDawgg,Vikavolt,Bug,Electric,RU,FALSE,0,3,4,,0,0.125,182,182
1,JDawgg,Genesect,Bug,Steel,Uber,FALSE,6,6,7,,1,0.2188,297,297
1,JDawgg,Scizor-CB,Bug,Steel,UU,FALSE,5,5,9,,1,0.2813,205,205
1,Barthol,Eternatus,Poison,Dragon,Uber,FALSE,28,14,19,,2,0.7917,394,394
1,Barthol,Iron Moth,Poison,Fire,UU,FALSE,21,4,13,,5.25,0.5417,350,350
1,Barthol,Venusaur,Poison,Grass,UU,FALSE,12,10,18,,1.2,0.75,196,196
1,Barthol,Toxapex ,Poison,Water,OU,FALSE,11,7,14,,1.57,0.5833,106,106
1,Barthol,Sneasler ,Poison,Fighting,Uber,FALSE,5,3,5,,1.67,0.2083,372,558
1,Barthol,Clodsire ,Poison,Ground,OU,FALSE,2,3,9,,0.67,0.375,76,76
1,Barthol,Pecharunt,Poison,Ghost,RU,FALSE,15,14,19,,1.07,0.7917,212,212
1,Barthol,Weezing,Poison,Fairy,RU,FALSE,6,10,18,,0.6,0.75,156,156
1,Barthol,Muk-Alola,Poison,Dark,RU,FALSE,9,8,13,,1.13,0.5417,136,136
1,Barthol,Salazzle,Poison,Fire,RU,FALSE,3,3,6,,1,0.25,366,366
1,Barthol,Okidogi,Poison,Fighting,RU,FALSE,3,6,10,,0.5,0.4167,284,426
1,Seth,Lucario,Fighting,Steel,Uber,FALSE,15,6,10,,2.5,0.3125,355,355
1,Seth,Quaquaval,Fighting,Water,UU,FALSE,27,16,26,,1.69,0.8125,295,295
1,Seth,Great Tusk ,Fighting,Ground,OU,FALSE,9,10,18,,0.9,0.5625,210,210
1,Seth,Lilligant- Hisui,Fighting,Grass,RU,FALSE,8,9,10,,0.89,0.3125,309,618
1,Seth,Terrakion,Fighting,Rock,RU,FALSE,16,18,27,,0.89,0.8438,346,519
1,Seth,Iron Valiant,Fighting,Fairy,OU,FALSE,25,21,28,,1.19,0.875,364,546
1,Seth,Lopunny ,Fighting,Normal,OU,FALSE,16,12,18,,1.33,0.5625,339,405
1,Seth,Zapdos - Galar,Fighting,Flying,UU,FALSE,5,14,21,,0.36,0.6563,328,328
1,Seth,Sneasler ,Fighting,Poison,Uber,FALSE,0,0,,,0,0,339,678
1,Seth,Urshifu - Single,Fighting,Dark,Uber,FALSE,17,9,19,,1.89,0.5938,322,322
1,Seth,Iron Hands ,Fighting,Electric,UU,FALSE,4,5,10,,0.8,0.3125,136,136
1,Lcannine,Walking Wake,Water,Dragon,Uber,FALSE,2,4,9,,0.5,0.5625,348,348
1,Lcannine,Swampert,Water,Ground,OU,FALSE,17,12,16,,1.42,1,239,478
1,Lcannine,Pelliper,Water,Flying,OU,FALSE,5,13,16,,0.38,1,149,149
1,Lcannine,Ogerpon - Wellspring,Water,Grass,OU,FALSE,20,6,11,,3.33,0.6875,350,350
1,Lcannine,Barraskewda,Water,N/A,RU,FALSE,21,7,16,,3,1,371,742
1,Lcannine,Tapu Fini,Water,Fairy,UU,FALSE,0,2,4,,0,0.25,288,432
1,Lcannine,Greninja ,Water,Dark,UU,FALSE,0,2,2,,0,0.125,377,377
1,Lcannine,Ushifu - Rapid,Water,Fighting,OU,FALSE,11,8,12,,1.38,0.75,322,483
1,Lcannine,Starmie,Water,Psychic,RU,FALSE,0,1,2,,0,0.125,361,361
1,Lcannine,Toxapex ,Water,Poison,OU,FALSE,1,4,8,,0.25,0.5,106,106
1,Availing,Armarouge,Psychic,Fire,RU,FALSE,30,13,19,,2.31,0.76,273,273
1,Availing,Tapu Lele,Psychic,Fairy,OU,FALSE,4,8,13,,0.5,0.52,317,317
