pl_name,pl_type,pl_tourneyID,pl_totalsets,pl_matchwins,pl_matchlosses,pl_setwins,pl_totalk,pl_totald,pl_avgr,pl_totalbrought
Itty,Electric,2,6,0,3,0,7,36,0.15,36
JDawgg,Flying,2,12,3,2,7,56,53,1.14,72
SKoN,Grass,2,12,5,1,9,67,39,2.21,72
Pyril,Psychic,2,8,3,1,4,29,38,0.93,48
Availing,Water,2,15,4,1,8,79,56,1.31,90
Subagoat,Rock,2,15,4,0,8,79,70,1.22,90
Jake B,Poison,2,9,1,5,3,26,47,0.47,56
Seth,Fire,2,21,4,3,10,92,87,2.12,126
Eef,Ground,2,2,0,6,1,4,12,0.33,12
Gourm ,Fairy,2,7,2,1,5,38,23,1.37,42
Garcar,Dragon,2,7,1,3,2,15,39,0.35,42
Caper,Steel,2,7,2,3,3,16,37,0.43,42
Eliman,Ghost,2,11,1,4,3,37,48,0.72,66
Gyro,Ice,2,7,1,2,3,27,31,0.79,42
Justin,Dark,2,13,6,0,11,75,33,2.98,78
Fuwante,Fairy,2,10,1,3,3,36,45,0.94,60
