po_tourneyid,po_playername,po_name,po_type1,po_type2,po_tier,po_isTeraCaptain,po_k,po_d,po_numbrought,po_winstreak,po_r,po_percentbrought,po_speed,po_modspeed
2,Itty,Arceus ,Electric,N/A,Uber,FALSE,,,,,0,0,372,372
2,Itty,Xurkitree,Electric,N/A,UU,FALSE,,6,6,,0,1,291,291
2,Itty,Zeraora,Electric,N/A,UU,FALSE,,1,1,,0,0.1667,423,423
2,Itty,Pikachu,Electric,N/A,RU,FALSE,,1,1,,0,0.1667,306,306
2,Itty,Eelektross,Electric,N/A,RU,FALSE,,1,1,,0,0.1667,136,136
2,Itty,Luxray,Electric,N/A,RU,TRUE,1,5,5,,0.2,0.8333,262,262
2,Itty,Regieleki,Electric,N/A,RU,FALSE,1,5,5,,0.2,0.8333,548,548
2,Itty,Bellibolt,Electric,N/A,RU,TRUE,3,5,5,,0.6,0.8333,126,126
2,Itty,Flaaffy,Electric,N/A,NFE,FALSE,2,6,6,,0.33,1,126,126
2,Itty,Yamper,Electric,N/A,LC,FALSE,,6,6,,0,1,88,88
2,JDawgg,Yveltal,Flying,Dark,Uber,FALSE,9,8,12,2,1.13,1,210,210
2,JDawgg,Landorus-Therian,Flying,Ground,OU,FALSE,5,10,11,2,0.5,0.9167,218,218
2,JDawgg,Zapdos,Flying,Electric,OU,FALSE,2,2,6,,1,0.5,299,299
2,JDawgg,Dragonite,Flying,Dragon,OU,FALSE,7,5,7,4,1.4,0.5833,240,240
2,JDawgg,Gyarados,Flying,Water,UU,FALSE,4,4,6,4,1,0.5,271,271
2,JDawgg,Thundurus-Therian,Flying,Electric,UU,FALSE,3,3,3,,1,0.25,331,331
2,JDawgg,Pinsir-Mega,Flying,Bug,UU,FALSE,,,,,0,0,220,260
2,JDawgg,Aerodactyl,Flying,Rock,RU,TRUE,8,4,5,3,2,0.4167,359,359
2,JDawgg,Flamigo,Flying,Fighting,RU,FALSE,15,8,12,3,1.88,1,279,419
2,JDawgg,Pelliper ,Flying,Water,RU,TRUE,3,9,10,,0.33,0.8333,166,166
2,SKoN,Ogerpon-Hearthflame,Grass,Fire,Uber,FALSE,9,4,10,3,2.25,0.8333,319,319
2,SKoN,Ferrothorn,Grass,Steel,OU,FALSE,4,6,10,,0.67,0.8333,40,40
2,SKoN,Meowscarada ,Grass,Dark,UU,FALSE,7,3,6,2,2.33,0.5,379,379
2,SKoN,Rillaboom,Grass,N/A,UU,FALSE,1,7,8,,0.14,0.6667,295,295
2,SKoN,Hydrapple,Grass,Dragon,UU,FALSE,10,1,4,2,10,0.3333,124,124
2,SKoN,Venusaur-Mega ,Grass,Poison,UU,FALSE,12,5,10,3,2.4,0.8333,196,196
2,SKoN,Gogoat,Grass,N/A,RU,FALSE,1,3,4,,0.33,0.3333,172,172
2,SKoN,Amoonguss,Grass,Poison,RU,FALSE,,,2,,0,0.1667,96,96
2,SKoN,Whimsicott,Grass,Fairy,RU,FALSE,3,3,6,,1,0.5,364,364
2,SKoN,Chesnaught,Grass,Fighting,RU,TRUE,16,5,10,3,3.2,0.8333,164,164
2,SKoN,Sinistcha,Grass,Ghost,RU,TRUE,4,2,2,2,2,0.1667,176,176
2,Pyril,Necrozma-Dusk Mane,Psychic,Steel,Uber,FALSE,5,7,8,,0.71,1,253,253
2,Pyril,Slowking-Galar,Psychic,Poison,OU,FALSE,,3,4,,0,0.5,58,58
2,Pyril,Tapu Lele ,Psychic,Fairy,OU,FALSE,7,4,5,,1.75,0.625,317,317
2,Pyril,Hatterene,Psychic,Fairy,OU,FALSE,,6,8,,0,1,84,84
2,Pyril,Gallade-Mega,Psychic,Fighting,UU,FALSE,4,1,2,2,4,0.25,284,350
2,Pyril,Victini,Psychic,Fire,UU,FALSE,4,4,5,,1,0.625,328,492
2,Pyril,Latios,Psychic,Dragon,UU,FALSE,,,,,0,0,350,350
2,Pyril,Rabsca ,Psychic,Bug,RU,TRUE,,3,4,,0,0.5,126,126
2,Pyril,Cresselia,Psychic,N/A,RU,TRUE,9,5,7,2,1.8,0.875,219,219
2,Pyril,Jirachi,Psychic,Steel,RU,FALSE,,4,4,,0,0.5,254,254
2,Pyril,Indeedee,Psychic,Normal,RU,FALSE,,1,1,,0,0.125,317,476
2,Availing,Walking Wake,Water,Dragon,Uber,FALSE,4,9,12,2,0.44,0.8,348,348
2,Availing,Tapu Fini ,Water,Fairy,UU,FALSE,,,,,0,0,256,384
2,Availing,Slowbro,Water,Psychic,UU,FALSE,,,2,,0,0.1333,58,58
2,Availing,Rotom-Wash,Water,Electric,UU,FALSE,4,4,8,,1,0.5333,266,266
2,Availing,Clawitzer,Water,N/A,RU,TRUE,10,4,8,2,2.5,0.5333,110,110
2,Availing,Pelipper ,Water,Flying,RU,FALSE,4,12,15,,0.33,1,149,149
2,Availing,Cloyster,Water,Ice,RU,FALSE,2,3,5,,0.67,0.3333,193,193
2,Availing,Barraskewda,Water,N/A,RU,TRUE,26,7,15,4,3.71,1,371,742
2,Availing,Golisopod,Water,Bug,RU,FALSE,6,7,8,,0.86,0.5333,104,104
2,Availing,Swampert,Water,Ground,RU,FALSE,21,8,14,2,2.63,0.9333,212,424
2,Availing,Greninja,Water,Dark,UU,FALSE,2,2,3,,1,0.2,377,377
2,Subagoat,Arceus ,Rock,N/A,Uber,FALSE,13,9,15,3,1.44,1,330,330
2,Subagoat,Diancie-Mega ,Rock,Fairy,OU,FALSE,2,1,2,,2,0.1333,218,350
2,Subagoat,Garganacl,Rock,N/A,UU,FALSE,7,8,9,,0.88,0.6,106,106
2,Subagoat,Glimmora,Rock,Poison,UU,FALSE,,2,2,,0,0.1333,298,298
2,Subagoat,Tyranitar,Rock,Dark,UU,FALSE,7,14,15,,0.5,1,200,200
2,Subagoat,Aerodactyl-Mega,Rock,Flying,UU,FALSE,3,9,10,,0.33,0.6667,394,438
2,Subagoat,Ogerpon-Cornerstone,Rock,Grass,UU,FALSE,10,4,7,3,2.5,0.4667,350,350
2,Subagoat,Arcanine-Hisui,Rock,Fire,RU,TRUE,15,10,11,3,1.5,0.7333,306,306
2,Subagoat,Coalossal,Rock,Rock,RU,TRUE,4,5,6,2,0.8,0.4,96,96
2,Subagoat,Lycanroc,Rock,N/A,RU,FALSE,18,8,13,2,2.25,0.8667,355,355
2,Jake B,Eternatus ,Poison,Dragon,Uber,FALSE,16,8,9,2,2,1,394,394
2,Jake B,Toxapex,Poison,Water,OU,FALSE,,4,7,,0,0.7778,106,106
2,Jake B,Clodsire ,Poison,Ground,OU,FALSE,1,8,9,,0.13,1,76,76
2,Jake B,Pecharunt ,Poison,Ghost,UU,FALSE,,,,,0,0,212,212
2,Jake B,Venusaur-Mega ,Poison,Grass,UU,FALSE,,7,9,,0,1,196,196
2,Jake B,Iron Moth ,Poison,Fire,UU,FALSE,3,4,4,,0.75,0.4444,350,350
2,Jake B,Weezing-Galar,Poison,Fairy,RU,FALSE,2,4,4,,0.5,0.4444,156,156
2,Jake B,Muk-Alola,Poison,Dark,RU,TRUE,,2,2,,0,0.2222,136,136
2,Jake B,Okidogi,Poison,Fighting,RU,TRUE,2,6,8,,0.33,0.8889,284,426
2,Jake B,Salazzle,Poison,Fire,RU,FALSE,2,4,4,,0.5,0.4444,366,366
2,Seth,Ogerpon-Hearthflame,Fire,Grass,Uber,FALSE,15,11,15,2,1.36,0.7143,350,350
2,Seth,Cinderace,Fire,N/A,OU,FALSE,15,8,18,2,1.88,0.8571,370,370
2,Seth,Heatran,Fire,Steel,OU,FALSE,6,6,10,2,1,0.4762,190,190
2,Seth,Moltres,Fire,Flying,OU,FALSE,,,,,0,0,306,306
2,Seth,Ceruledge ,Fire,Ghost,UU,FALSE,13,,4,4,13,0.1905,295,295
2,Seth,Charizard-Mega,Fire,Flying,UU,FALSE,8,6,9,5,1.33,0.4286,299,299
2,Seth,Iron Moth ,Fire,Poison,UU,FALSE,6,13,15,2,0.46,0.7143,350,350
2,Seth,Rotom-Heat,Fire,Electric,RU,TRUE,6,7,11,,0.86,0.5238,298,298
2,Seth,Torkoal,Fire,N/A,RU,FALSE,1,17,21,,0.06,1,68,68
2,Seth,Volcanion,Fire,Water,RU,TRUE,22,17,21,2,1.29,1,262,262
2,Seth,Volcarona,Fire,Bug,OU,FALSE,,2,2,,0,0.0952,299,299
2,Eef,Ursaluna-Bloodmoon,Ground,Normal,Uber,FALSE,,2,2,,0,1,140,140
2,Eef,Garchomp ,Ground,Dragon,OU,FALSE,,,,,0,0,333,311
2,Eef,Clodsire ,Ground,Poison,OU,FALSE,1,2,2,,0.5,1,76,76
2,Eef,Great Tusk,Ground,Fighting,OU,FALSE,,,,,0,0,300,300
2,Eef,Hippowdon,Ground,N/A,UU,FALSE,2,2,2,,1,1,130,130
2,Eef,Sandaconda,Ground,N/A,RU,FALSE,,,,,0,0,265,265
2,Eef,Gligar,Ground,Flying,RU,FALSE,,2,2,,0,1,206,206
2,Eef,Dugtrio-Alola,Ground,Steel,RU,TRUE,,2,2,,0,1,350,350
2,Eef,Dugtrio,Ground,N/A,RU,FALSE,,,,,0,0,372,372
2,Eef,Stunfisk,Ground,Electric,RU,TRUE,1,2,2,,0.5,1,100,100
2,Gourm ,Zacian-Crowned,Fairy,Steel,Uber,FALSE,18,3,7,4,6,1,434,434
2,Gourm ,Diancie-Mega ,Fairy,Rock,OU,FALSE,3,3,3,,1,0.4286,218,350
2,Gourm ,Tapu Koko,Fairy,Electric,OU,FALSE,1,,2,,1,0.2857,394,394
2,Gourm ,Iron Valiant ,Fairy,Fighting,OU,FALSE,3,2,5,,1.5,0.7143,364,546
2,Gourm ,Clefable ,Fairy,N/A,UU,FALSE,,1,4,,0,0.5714,156,156
2,Gourm ,Mawile-Mega ,Fairy,Steel,UU,FALSE,,,2,,0,0.2857,171,171
2,Gourm ,Tapu Fini ,Fairy,Water,UU,FALSE,4,4,5,,1,0.7143,206,206
2,Gourm ,Azumarill ,Fairy,Water,RU,FALSE,8,3,5,4,2.67,0.7143,199,199
2,Gourm ,Klefki,Fairy,Steel,RU,TRUE,,5,7,,0,1,186,186
2,Gourm ,Ribombee,Fairy,Bug,RU,FALSE,1,2,2,,0.5,0.2857,381,381
2,Gourm ,Enamorus,Fairy,Flying,RU,TRUE,,,,,0,0,342,513
2,Garcar,Giratina-Origin,Dragon,Ghost,Uber,FALSE,2,6,7,,0.33,1,216,216
2,Garcar,Kyurem,Dragon,Ice,OU,FALSE,1,5,5,,0.2,0.7143,317,317
2,Garcar,Garchomp ,Dragon,Ground,OU,FALSE,3,7,7,,0.43,1,333,333
2,Garcar,Raging Bolt,Dragon,Electric,OU,FALSE,,,,,0,0,249,249
2,Garcar,Salamence,Dragon,Flying,UU,FALSE,,2,2,,0,0.2857,314,314
2,Garcar,Hydreigon,Dragon,Dark,UU,FALSE,3,6,7,,0.5,1,295,295
2,Garcar,Kommo-o,Dragon,Fighting,UU,FALSE,,,,,0,0,206,206
2,Garcar,Dragalge,Dragon,Poison,RU,TRUE,1,4,5,,0.25,0.7143,124,124
2,Garcar,Duraludon,Dragon,Steel,RU,TRUE,4,5,5,,0.8,0.7143,206,206
2,Garcar,Flygon,Dragon,Ground,RU,FALSE,1,4,4,,0.25,0.5714,328,492
2,Caper,Lucario-Mega,Steel,Fighting,Uber,FALSE,2,6,7,,0.33,1,306,355
2,Caper,Corviknight,Steel,Flying,OU,FALSE,2,5,6,,0.4,0.8571,170,170
2,Caper,Heatran,Steel,Fire,OU,FALSE,3,4,4,,0.75,0.5714,190,190
2,Caper,Gholdengo ,Steel,Ghost,OU,FALSE,2,3,3,,0.67,0.4286,204,204
